participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.age,participant.gender,participant.region,participant.treat,participant.employed,participant.high_school,participant.university,participant.not_student,participant.sharing_inn,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.age18to24,session.age25to34,session.age35to44,session.age45to54,session.age55to64,session.age65to99,session.male,session.female,session.nielsenIIIb,session.nielsenII,session.nielsenVII,session.nielsenIV,session.nielsenVVI,session.nielsenI,session.nielsenIIIa,follow_up.1.player.id_in_group,follow_up.1.player.role,follow_up.1.player.payoff,follow_up.1.player.id_cint,follow_up.1.player.treat,follow_up.1.player.age,follow_up.1.player.gender,follow_up.1.player.region,follow_up.1.player.quota_full,follow_up.1.player.policy_intervention,follow_up.1.player.universal_income,follow_up.1.player.tax_credits_innovation,follow_up.1.player.stronger_regulations_ai,follow_up.1.player.education_policies_training,follow_up.1.player.breaking_up_tech_monopolies,follow_up.1.player.lower_taxes_on_labor,follow_up.1.player.higher_taxes_on_capital,follow_up.1.player.minimum_wage_policy,follow_up.1.player.unemployment_benefits,follow_up.1.player.ai_what_is,follow_up.1.player.news_articles_read,follow_up.1.player.search_candidate_policies,follow_up.1.player.search_tvnews,follow_up.1.player.search_google,follow_up.1.player.search_radio,follow_up.1.player.search_blogs,follow_up.1.player.search_podcasts,follow_up.1.player.search_newspapers,follow_up.1.player.search_facebook,follow_up.1.player.search_twitter,follow_up.1.player.search_instagram,follow_up.1.player.search_tiktok,follow_up.1.player.search_other_social,follow_up.1.player.search_verbal,follow_up.1.player.search_websites,follow_up.1.player.search_speech,follow_up.1.player.policy_priority,follow_up.1.player.active,follow_up.1.player.active_community,follow_up.1.player.active_neighborhood,follow_up.1.player.active_work,follow_up.1.player.active_friends,follow_up.1.player.active_family,follow_up.1.player.active_social_media,follow_up.1.player.candidate_voted,follow_up.1.player.party_for_ai,follow_up.1.player.party_for_workers,follow_up.1.player.job_loss_chance,follow_up.1.player.answer1,follow_up.1.player.answer2,follow_up.1.player.answer3,follow_up.1.player.answer4,follow_up.1.player.answer5,follow_up.1.player.answer6,follow_up.1.player.answer7,follow_up.1.player.answer8,follow_up.1.player.selected_most_common_petition,follow_up.1.player.beliefs_optimistic,follow_up.1.player.beliefs_pessimistic,follow_up.1.player.beliefs_balanced,follow_up.1.player.button_optimistic,follow_up.1.player.button_pessimistic,follow_up.1.player.button_neutral,follow_up.1.player.happiness,follow_up.1.player.anger,follow_up.1.player.fear,follow_up.1.player.political_corr,follow_up.1.player.tvnews,follow_up.1.player.google,follow_up.1.player.radio,follow_up.1.player.blogs,follow_up.1.player.podcasts,follow_up.1.player.newspapers,follow_up.1.player.facebook,follow_up.1.player.twitter,follow_up.1.player.instagram,follow_up.1.player.tiktok,follow_up.1.player.other_social,follow_up.1.player.verbal,follow_up.1.player.daily_news_time,follow_up.1.player.main_media_outlet,follow_up.1.group.id_in_subsession,follow_up.1.subsession.round_number
11,r890f8j6,6759c30e-5e22-0738-2bcf-768c779849ba,0,14,14,follow_up,Completion,2024-12-11 16:51:36.223871,1,,,0.0,67,männlich,Baden-Württemberg,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,11,,0.0,6759c30e-5e22-0738-2bcf-768c779849ba,pessimistic,67,männlich,Baden-Württemberg,0,Ja,1,0,0,0,0,1,0,1,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge",Yes,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"Yes, I have become more active on these topics",1,1,1,1,0,0,CDU/CSU,CDU/CSU,CDU/CSU,61,0,0,0,0,0,1,0,0,pessimistic,,,,1,1,1,2,3,4,2,0,1,1,0,0,1,1,0,0,0,0,0,30,Internet ,1,1
12,p7zwr8zy,6759c32b-e242-622c-07eb-11e924b4749f,0,14,14,follow_up,Completion,2024-12-11 16:52:02.126311,1,,,0.0,78,männlich,Bayern,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,12,,0.0,6759c32b-e242-622c-07eb-11e924b4749f,neutral,78,männlich,Bayern,0,Ja,1,0,1,0,0,0,0,1,0,"Sie sind sehr große Deep-Learning-Modelle, die eine Form der Intelligenz entwickelt haben, indem sie die Funktionsweise des menschlichen Gehirns nachbilden.","Ja, zwischen 2 und 5 Artikel/Beiträge","Yes, but only of one candidate",1,0,0,0,0,0,0,0,0,0,0,1,1,0,7,"Yes, I will become more active on these topics in the near future",1,0,0,0,1,1,SPD,Die Grünen,SPD,13,0,0,0,0,0,0,0,1,balanced,25,20,55,0,0,0,6,2,1,6,1,0,0,0,0,1,0,0,0,0,0,0,120,TV,1,1
13,j33njbzu,6759c371-d1c2-b3d4-8c8b-1f84689b143e,0,14,14,follow_up,Completion,2024-12-11 16:53:13.543936,1,,,0.0,63,weiblich,Bayern,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,13,,0.0,6759c371-d1c2-b3d4-8c8b-1f84689b143e,optimistic,63,weiblich,Bayern,0,No,0,1,0,1,0,0,0,1,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, 1 Artikel/Beitrag","Yes, but only of one candidate",0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,"Yes, I will become more active on these topics in the near future",0,1,0,1,1,0,CDU/CSU,CDU/CSU,SPD,10,0,0,1,0,0,1,1,0,balanced,10,35,55,0,0,0,5,1,3,7,1,0,0,0,0,1,0,0,0,0,1,1,60,Internet,1,1
14,y8zu19p9,6759c3c2-6f41-d33a-b097-5cf12da52ae8,0,6,14,follow_up,ConsumptionNewsAutoAI,2024-12-11 16:54:45.578784,1,,,0.0,61,männlich,Sachsen-Anhalt,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,14,,0.0,6759c3c2-6f41-d33a-b097-5cf12da52ae8,pessimistic,61,männlich,Sachsen-Anhalt,0,Ja,0,0,1,0,1,1,0,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1
15,tishrf6p,6759c3d0-1e16-a3c8-048f-eaa969c791d3,0,14,14,follow_up,Completion,2024-12-11 16:54:48.509584,1,,,0.0,58,weiblich,Sachsen-Anhalt,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,15,,0.0,6759c3d0-1e16-a3c8-048f-eaa969c791d3,neutral,58,weiblich,Sachsen-Anhalt,0,Ja,0,0,1,0,0,0,1,0,0,"Sie sind sehr große Deep-Learning-Modelle, die Muster in Texten, Bildern und Videos vorhersagen können.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Yes, I will become more active on these topics in the near future",0,0,0,1,1,0,AfD,Andere Partei,Andere Partei,9,1,0,0,0,0,1,1,0,pessimistic,20,60,20,0,0,0,3,3,3,3,0,0,0,0,1,0,1,0,0,0,1,0,30,Internet,1,1
16,lva4vhv8,6759c3eb-1bad-0774-fc48-6ad822166c87,0,14,14,follow_up,Completion,2024-12-11 16:55:14.821106,1,,,0.0,66,männlich,Niedersachsen,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,16,,0.0,6759c3eb-1bad-0774-fc48-6ad822166c87,optimistic,66,männlich,Niedersachsen,0,Ja,1,0,0,0,0,1,1,1,0,,"Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"No, I will not become more active on these topics",0,0,0,0,0,0,SPD,SPD,SPD,3,0,0,0,0,0,0,1,0,pessimistic,20,60,20,0,0,0,7,7,1,1,1,0,1,0,0,0,0,0,0,0,0,1,100,Tv,1,1
17,9r6spsab,6759c3f5-6cbe-0e9e-62f0-4ec73c310982,0,11,14,follow_up,BeliefsElicitation,2024-12-11 16:55:25.478112,1,,,0.0,60,weiblich,Bayern,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,17,,0.0,6759c3f5-6cbe-0e9e-62f0-4ec73c310982,pessimistic,60,weiblich,Bayern,0,Ja,0,0,1,0,0,0,0,0,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"No, I will not become more active on these topics",0,0,0,0,0,0,Die Grünen,Die Grünen,Die Grünen,0,0,0,0,0,0,0,0,1,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1
18,6vfh2qxh,6759c40e-9566-879a-bfcd-5e3ed702b6fc,0,14,14,follow_up,Completion,2024-12-11 16:55:49.268984,1,,,0.0,34,männlich,Brandenburg,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,18,,0.0,6759c40e-9566-879a-bfcd-5e3ed702b6fc,neutral,34,männlich,Brandenburg,0,Ja,1,1,1,1,1,1,0,1,0,"Sie sind sehr große Deep-Learning-Modelle, die Muster in Texten, Bildern und Videos vorhersagen können.","Nein, ich habe nichts gelesen","Yes, but only of one candidate",1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,"No, I will not become more active on these topics",0,0,0,0,0,0,AfD,AfD,AfD,7,1,0,1,1,1,1,1,0,balanced,20,60,20,1,1,1,4,4,4,4,1,0,1,0,0,1,0,0,0,0,1,1,60,Tv,1,1
19,sxovz364,6759c422-9502-a482-e5cc-456a600f4d18,0,11,14,follow_up,BeliefsElicitation,2024-12-11 16:56:25.631968,1,,,0.0,68,männlich,Berlin,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,19,,0.0,6759c422-9502-a482-e5cc-456a600f4d18,optimistic,68,männlich,Berlin,0,Ja,0,0,1,0,0,0,0,0,0,"Sie sind sehr große Deep-Learning-Modelle, die Muster in Texten, Bildern und Videos vorhersagen können.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Yes, I will become more active on these topics in the near future",0,0,0,1,0,0,Die Grünen,CDU/CSU,SPD,0,0,0,0,0,0,0,0,1,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1
20,ru86dv5d,6759c463-a547-f091-ec16-5376b425d52c,0,14,14,follow_up,Completion,2024-12-11 16:57:46.229283,1,,,0.0,52,männlich,Sachsen,pessimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,20,,0.0,6759c463-a547-f091-ec16-5376b425d52c,pessimistic,52,männlich,Sachsen,0,No,0,1,0,1,0,1,0,0,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Nein, ich habe nichts gelesen",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"No, I will not become more active on these topics",0,0,0,0,0,0,AfD,AfD,AfD,0,0,0,0,0,0,0,0,1,optimistic,50,20,30,0,0,0,5,3,3,4,0,0,0,0,0,0,1,0,0,0,0,1,5,Google News,1,1
21,nvh42k9s,6759c484-69b0-e4f3-0fb3-ff677ec78df7,0,14,14,follow_up,Completion,2024-12-11 16:57:47.077185,1,,,0.0,42,männlich,Bayern,neutral,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,21,,0.0,6759c484-69b0-e4f3-0fb3-ff677ec78df7,neutral,42,männlich,Bayern,0,Ja,0,0,1,1,1,0,0,0,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Yes, I will become more active on these topics in the near future",1,0,0,1,0,0,Die Grünen,Die Grünen,Die Grünen,20,1,0,0,0,0,0,0,1,balanced,35,40,25,0,0,0,3,4,5,3,1,0,1,0,1,1,1,0,1,0,0,0,1,ARD ,1,1
22,nixwjcq4,6759c494-8fa5-3913-e407-5bb1494d6ee9,0,14,14,follow_up,Completion,2024-12-11 16:58:29.048382,1,,,0.0,66,männlich,Berlin,optimistic,,,,,,tlwtjoc9,,,,,0,1.0,followup_automationAI_de,0.0,15,55,81,244,239,354,570,418,126,220,89,153,121,146,133,22,,0.0,6759c494-8fa5-3913-e407-5bb1494d6ee9,optimistic,66,männlich,Berlin,0,Ja,1,0,1,0,0,0,0,1,0,"Sie sind sehr große Modelle, die einen aufwendigen Satz vordefinierter Regeln verwenden, um den Kontext zu verstehen und plausible Antworten zu geben.","Ja, zwischen 2 und 5 Artikel/Beiträge",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Yes, I have become more active on these topics",0,0,0,0,1,0,CDU/CSU,CDU/CSU,Die Grünen,4,0,0,0,0,0,0,0,1,pessimistic,10,80,10,0,0,0,3,5,5,4,0,0,1,0,0,1,0,0,0,0,0,0,30,Radio,1,1
